date,融资余额
2021-09-30,896254829811
2021-10-08,901386226189
2021-10-11,902622940053
2021-10-12,900741231360
2021-10-13,898870170634
2021-10-14,898738267985
2021-10-15,895814114221
2021-10-18,901100271885
2021-10-19,902716530777
2021-10-20,905782630328
2021-10-21,906155333844
2021-10-22,903152283548
2021-10-25,905911108778
2021-10-26,908601388757
2021-10-27,910663397709
2021-10-28,906812813649
2021-10-29,903863548830
2021-11-01,904908107430
2021-11-02,902216238930
2021-11-03,900087292307
2021-11-04,902439884671
2021-11-05,895795759951
2021-11-08,896875925401
2021-11-09,898707817919
2021-11-10,899331842771
2021-11-11,899651946243
2021-11-12,896986190333
2021-11-15,897001566079
2021-11-16,895203793301
2021-11-17,896710208816
2021-11-18,897810789912
2021-11-19,896957362621
2021-11-22,902371955149
2021-11-23,904116936824
2021-11-24,904574071421
2021-11-25,905679295346
2021-11-26,904436858616
2021-11-29,906873810702
2021-11-30,908483085484
2021-12-01,910308466514
2021-12-02,908489878210
2021-12-03,907443980718
2021-12-06,907463353414
2021-12-07,906117771051
2021-12-08,907881320453
2021-12-09,908880092802
2021-12-10,910033221248
2021-12-13,913950078858
2021-12-14,915338431382
2021-12-15,917286307636
2021-12-16,916542583380
2021-12-17,912380095462
2021-12-20,911283958963
2021-12-21,910211617764
2021-12-22,910705749396
2021-12-23,910955003301
2021-12-24,905742911873
2021-12-27,907936630520
2021-12-28,909665874508
2021-12-29,908622510506
2021-12-30,908562701859
2021-12-31,903074844982
2022-01-04,906057651977
2022-01-05,904167215798
2022-01-06,904082746979
2022-01-07,895813442330
2022-01-10,896873723408
2022-01-11,896737126432
2022-01-12,898405575020
2022-01-13,897215444391
2022-01-14,895539506386
2022-01-17,896735334253
2022-01-18,895190092705
2022-01-19,892008945432
2022-01-20,886686826861
2022-01-21,881353735363
2022-01-24,879433636370
2022-01-25,875761757447
2022-01-26,872693075234
2022-01-27,868250393955
2022-01-28,854740314467
2022-02-07,855901800819
2022-02-08,854484927188
2022-02-09,854850368933
2022-02-10,853570690387
2022-02-11,849788559074
2022-02-14,852506500811
2022-02-15,853614767892
2022-02-16,853461937896
2022-02-17,853470424387
2022-02-18,851255690984
2022-02-21,854404344357
2022-02-22,856149573287
2022-02-23,859158753274
2022-02-24,859170791373
2022-02-25,857890092841
2022-02-28,858010482942
2022-03-01,858304931586
2022-03-02,859052842301
2022-03-03,858343094456
2022-03-04,856218564496
2022-03-07,859249648231
2022-03-08,859765307764
2022-03-09,856888363483
2022-03-10,855756680056
