选股日期,股票代码,股票名称,行业,综合评分,权重,目标仓位,当前价格,因子名称,信号强度,选股理由,止损价,止盈价,盈亏比
2026-05-19,300427,红相股份,电力设备,1.4256,0.0964,11571.0,10.58,IND_电力设备_B_电力_FBAD,强因子(1.426),"因子评分驱动·无缠论买点确认, 综合评分1.426",,,
2026-05-19,301636,泽润新能,半导体/光伏,1.409,0.085,10203.0,60.5,IND_半导体/_B_半导_FBA,Chan3买(段级·0.73),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 盘整中·等待方向(第18课); 线段级确认(第35课); 缠论增强; 截面前73%,,,
2026-05-19,000573,粤宏远Ａ,基建/地产/石油石化,0.6754,0.0733,8795.0,4.64,IND_基建/地_B_基建_FBA,强因子(0.675),"因子评分驱动·无缠论买点确认, 综合评分0.675",,,
2026-05-19,605318,法狮龙,建材,0.3626,0.0448,7832.0,97.9,IND_建材_B_建材_FBAVR2,强因子(0.363),"因子评分驱动·无缠论买点确认, 综合评分0.363",,,
2026-05-19,300206,理邦仪器,医药,2.0042,0.0747,8966.0,13.78,IND_医药_B_医药_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前87%,,,
2026-05-19,301167,建研设计,基建/地产/石油石化,1.943,0.1215,14577.0,17.4,IND_基建/地_B_基建_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前87%,,,
2026-05-19,002741,光华科技,电子,1.8997,0.0759,9109.0,23.12,IND_电子_B_电子_FVAV,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前73%,,,
2026-05-19,603788,宁波高发,新能源车/风电,1.8127,0.1166,13996.0,17.52,IND_新能源车_B_新能_FVA,Chan3买(段级·0.76),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前63%,,,
2026-05-19,002021,中捷资源,自动化/制造,1.6986,0.1146,13755.0,3.06,MOM_FVA,Chan3买(段级·0.60),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前69%,,,
2026-05-19,002746,仙坛股份,农业,1.5929,0.0577,6928.0,6.39,IND_农业_B_农业_FVA,Chan3买(段级·0.69),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 线段级确认(第35课); 缠论增强; 截面前62%,,,
2026-05-19,002626,金达威,消费,1.4231,0.0408,4891.0,16.33,IND_消费_B_消费_FVAV,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 盘整中·等待方向(第18课); 线段级确认(第35课); 缠论增强; 截面前84%,,,
2026-05-19,600027,华电国际,电力设备,1.5369,0.0942,11310.0,5.5,IND_电力设备_B_电力_FVA,Chan2买(段级·0.50),第21/49课: 一买后回踩不破前低 → 空头无力继续打压; 下跌末端·左侧转折(第21课); 线段级确认(第35课); 缠论增强; 截面前87%,,,
2026-05-19,300531,优博讯,通信/计算机,1.3578,0.0647,7760.0,20.4,IND_通信/计_B_通信_FVA,强因子(1.358),"因子评分驱动·无缠论买点确认, 综合评分1.358",,,
2026-05-19,601555,东吴证券,金融,1.2995,0.1076,12914.0,8.2,DYN_金融_2F_FVA,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 盘整中·等待方向(第18课); 线段级确认(第35课); 缠论增强; 动态IC因子验证有效; 截面前57%,,,
2026-05-19,301678,新恒汇,半导体/光伏,1.1777,0.0709,8510.0,62.13,IND_半导体/_B_半导_FVA,Chan2买(段级·0.50),第21/49课: 一买后回踩不破前低 → 空头无力继续打压; 下跌末端·左侧转折(第21课); 线段级确认(第35课); 缠论增强; 截面前60%,,,
2026-05-19,300010,豆神教育,传媒,1.0128,0.0607,7285.0,3.06,DYN_传媒_2F_FVAVR2,强因子(1.013),"因子评分驱动·无缠论买点确认, 综合评分1.013",,,
2026-05-20,603915,国茂股份,自动化/制造,1.9757,0.1228,14737.0,17.74,MOM_F,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前86%,,,
2026-05-20,603489,八方股份,电力设备,1.9765,0.1228,14737.0,37.63,IND_电力设备_B_电力_F,Chan3买(段级·0.73),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前94%,,,
2026-05-20,001368,通达创智,消费,1.9422,0.0504,6045.0,27.81,IND_消费_B_消费_F,Chan3买(段级·0.85),第21/54课: 突破中枢上沿后回踩不破 → 多头主导; 上涨趋势延续·顺势做多(第16课); 线段级确认(第35课); 缠论增强; 截面前84%,,,
