date,code,value,amount,ratio,yr
2021-10-18,000060,19714.814644776554,820356814.0000001,2.403199962300374e-05,2021
2021-10-18,300041,19123.370205433253,99627718.0,0.00019194829099099966,2021
2021-10-18,300248,24885.71823844676,23344793.0,0.001066007235037242,2021
2021-10-18,603011,20847.17210559471,23785066.0,0.000876481574850148,2021
2021-10-18,300580,17349.036887403352,33500263.0,0.0005178776324055531,2021
2021-10-18,002189,22503.04308795717,44434933.00000001,0.0005064268486228428,2021
2021-10-28,300179,14848.169291976592,292677556.00000006,5.073217603326095e-05,2021
2021-10-28,300695,22974.12841035018,7892497.0,0.00291088212138062,2021
2021-10-28,600378,13511.834055698684,200017964.0,6.755310265881261e-05,2021
2021-10-28,600176,13066.38897693939,1359813961.0,9.60895339486766e-06,2021
2021-10-28,002870,22204.37668526112,16534444.0,0.0013429164406895762,2021
2021-11-08,600760,44591.41224028002,664425760.0,6.711270833370462e-05,2021
2021-11-18,300487,45711.27809500639,654400679.0000001,6.985212509995941e-05,2021
2021-11-29,300522,72455.83432754278,38188083.0,0.0018973414907352845,2021
2021-12-09,603127,32216.147313263376,393693438.00000006,8.183054174569039e-05,2021
2021-12-09,603309,26083.051962079706,91727451.0,0.0002843538294995214,2021
2021-12-09,603369,25235.982062056286,1256010499.0,2.00921744540738e-05,2021
2021-12-09,603267,26580.469276596483,353080594.0,7.528159215852141e-05,2021
2021-12-09,600809,22491.16631096624,3532185031.0,6.367493807253565e-06,2021
2021-12-09,002142,12799.243372804658,1267093746.0,1.0101260000066844e-05,2021
2021-12-20,002949,34993.890237755106,29397805.000000004,0.0011903572473439803,2021
2021-12-20,688160,30775.960001097694,12333026.0,0.0024954102911238243,2021
2021-12-20,600456,32894.2568234898,550957196.0000001,5.970383373210319e-05,2021
2021-12-20,300383,31844.440116357135,247929748.0,0.00012844138459882246,2021
2021-12-20,300577,30794.623409224496,23841772.000000004,0.0012916247755923717,2021
2021-12-30,603330,41003.27080580332,67064543.00000001,0.0006114001374139433,2021
2021-12-30,688008,19886.586340814596,573571162.0,3.467152405548345e-05,2021
2021-12-30,300813,38543.074557455126,76303864.0,0.000505126117301938,2021
2021-12-30,002841,36082.8783091069,186515112.0,0.00019345820251340758,2021
2021-12-30,600030,17426.3900924664,2057978148.0,8.467723580739595e-06,2021
2022-01-10,603139,32712.60451948739,63202364.0,0.0005175851415856437,2022
2022-01-10,603456,31731.226383902747,473916905.0,6.695525322926125e-05,2022
2022-01-10,300012,30749.84824831815,149141878.0,0.00020617849701690192,2022
2022-01-10,600267,29768.470112733532,113677996.0,0.00026186659828814654,2022
2022-01-10,600513,28787.091977148884,49002447.0,0.0005874623358533275,2022
2022-01-10,300281,27805.71384156427,31899856.0,0.0008716564062723126,2022
2022-01-20,300550,23670.07159041733,38694732.0,0.0006117130257012074,2022
2022-01-20,002422,11479.984721352397,638974615.0,1.7966261024864653e-05,2022
2022-01-20,600267,22249.86729499231,1045180718.0,2.1288057569190927e-05,2022
2022-01-20,300314,21539.765147279773,108949613.0,0.00019770391609633136,2022
2022-01-20,603506,20829.662999567263,32859138.0,0.0006339077732217827,2022
2022-01-20,300677,20119.560851854752,1017787264.0,1.9767943226940156e-05,2022
2022-02-07,600986,19851.666257271045,563422808.0,3.5234047992730614e-05,2022
2022-02-07,600873,17946.700363223328,282801983.0,6.346030594567411e-05,2022
2022-02-07,300661,18660.56628183479,707581143.0,2.6372334065769172e-05,2022
2022-02-07,002294,15078.266933489384,135584487.0,0.00011120938145002815,2022
2022-02-07,601456,17469.46630639853,1057735719.0,1.651590845671208e-05,2022
2022-02-07,688617,14736.55358498087,113727673.0,0.00012957755308139356,2022
2022-02-17,688617,19649.824987772587,90018839.0,0.00021828569670591494,2022
2022-02-17,300077,21824.80561619015,472088317.00000006,4.623034468398028e-05,2022
2022-02-17,002240,19711.624437352446,2210280507.0,8.918155127788243e-06,2022
2022-02-17,000513,19124.829663671775,505451409.0,3.783712800704009e-05,2022
2022-02-28,605116,19871.879527212066,70790127.00000001,0.0002807154100346799,2022
2022-02-28,300683,19275.723141395698,100576074.0,0.00019165316734669617,2022
2022-02-28,688687,18679.56675557933,82710869.0,0.00022584174222107774,2022
2022-02-28,688356,18083.41036976296,185987280.00000003,9.722928562514037e-05,2022
2022-02-28,000153,17487.25398394662,44358082.0,0.00039422926320273766,2022
2022-02-28,300813,16891.09759813025,49143381.0,0.00034371053139649164,2022
2022-06-07,603309,74038.50436941891,33738293.0,0.002194494676106432,2022
2022-06-07,002422,14807.700873883767,262607452.0,5.6387207450166976e-05,2022
2022-06-17,600332,34949.88985881363,239103695.0,0.0001461704297744693,2022
2022-06-17,000995,16950.696581524597,93454630.0,0.00018137888493619414,2022
2022-06-17,600741,26063.297864045948,433920383.00000006,6.0064700542186665e-05,2022
2022-06-17,600850,27606.219001679703,84065897.0,0.0003283878479483744,2022
2022-06-17,002559,29197.603986584356,24257128.0,0.0012036711018132218,2022
2022-06-17,600133,29707.406379991593,82065900.0,0.0003619945236692901,2022
2022-06-27,300896,22793.439988824197,949176112.0,2.4013920810539948e-05,2022
2022-06-27,300813,22004.67049772244,60759096.0,0.0003621625722957175,2022
2022-06-27,002940,21324.11367820523,63299195.00000001,0.0003368781179319141,2022
2022-06-27,600521,10321.778429344013,364695137.00000006,2.8302484409996427e-05,2022
2022-06-27,300122,19963.00003917087,2200885239.0000005,9.07044115041696e-06,2022
2022-06-27,300272,19282.44321965369,39261219.0,0.0004911320562831657,2022
2022-07-07,300946,35746.26908534018,39565364.0,0.0009034737829112398,2022
2022-07-07,002488,17336.940506389983,108637818.0,0.00015958476362614338,2022
2022-07-07,601882,45099.17902173202,35038606.0,0.0012871282328335786,2022
2022-07-07,300606,21829.92176051922,18472094.0,0.0011817784037109827,2022
2022-07-07,600366,16415.948398946028,382162747.0,4.295538622697316e-05,2022
2022-07-07,605128,30384.32872253917,188436049.00000003,0.00016124477712085316,2022
2022-07-18,300196,31345.299474574727,135431565.0,0.00023144751723554793,2022
2022-07-18,603920,30404.94049033747,174249699.0,0.00017449063421531345,2022
2022-07-18,000060,29464.58150610024,230936359.00000003,0.0001275874515112635,2022
2022-07-18,600378,28524.222521862983,86361393.0,0.0003302890508246316,2022
2022-07-18,603681,27583.863537625755,52970974.0,0.0005207354415953491,2022
2022-07-18,300819,26643.50455338852,67082625.0,0.00039717444797946594,2022
2022-07-28,300196,31625.176264144848,92694401.0,0.00034117676928668915,2022
2022-07-28,688625,30676.4209762205,20444958.000000004,0.0015004394225813765,2022
2022-07-28,603681,29727.665688296147,202758069.0,0.00014661643718996036,2022
2022-07-28,300179,28778.910400371802,385690315.0,7.461662707390462e-05,2022
2022-07-28,300127,31152.47439178937,253306297.0,0.00012298341873352389,2022
2022-08-09,300573,18682.218733997677,205112318.0,9.108287067380164e-05,2022
2022-08-09,600062,23019.52302543242,720183390.0,3.196341840851456e-05,2022
2022-08-09,688356,20183.073014907128,57398569.0,0.0003516302473482767,2022
2022-08-09,688166,21595.63500324074,74478949.00000001,0.000289956226466632,2022
